a 亜
kutsu 屈
kutsu 掘
kutsu 窟
kutsu 靴
kutsuwa 轡
kutu 屈
kutu 掘
kutu 窟
kutu 靴
kutuwa 轡
kuu 空
kuwa 桑
kuwa 鍬
kuzi 簽
kuzira 鯨
kuzu 屑
kuzu 葛
kya 脚
kyaku 却
kyaku 客
kyaku 脚
kyo 去
kyo 居
kyo 巨
kyo 拒
kyo 拠
kyo 挙
kyo 虚
kyo 許
kyo 距
kyoku 局
kyoku 曲
kyoku 極
kyou 享
kyou 京
kyou 供
kyou 兄
kyou 共
kyou 凶
kyou 協
kyou 叫
kyou 境
kyou 峡
kyou 強
kyou 恐
kyou 恭
kyou 挾
kyou 教
kyou 橋
kyou 況
kyou 狂
kyou 狭
kyou 矯
kyou 競
kyou 経
kyou 胸
kyou 脅
kyou 興
kyou 郷
kyou 鏡
kyou 響
kyou 香
kyou 驚
kyuu 丘
kyuu 久
kyuu 九
kyuu 仇
kyuu 休
kyuu 及
kyuu 吸
kyuu 嗅
kyuu 宮
kyuu 弓
kyuu 急
kyuu 救
kyuu 旧
kyuu 朽
kyuu 求
kyuu 泣
kyuu 灸
kyuu 球
kyuu 究
kyuu 窮
kyuu 糾
kyuu 級
kyuu 給
kyuu 鳩
ma 摩
ma 真
ma 磨
ma 魔
ma 麻
mabara 疎
maboroshi 幻
maborosi 幻
mabushi 蔟
mabusi 蔟
mabuta 瞼
machi 町
madara 斑
mado 窓
mae 前
magaki 籬
mage 懺
mago 孫
maguro 鮪
magusa 秣
mai 埋
mai 売
mai 妹
mai 昧
mai 枚
mai 毎
mai 米
mai 舞
maki 槙
maki 牧
maki 薪
makoto 誠
maku 幕
maku 膜
maku 莫
makura 枕
mama 儘
mama 継
mame 豆
mamushi 蝮
mamusi 蝮
man 万
man 慢
man 満
man 漫
manako 眼
manji 卐
manma 飯
manzi 卐
mare 希
mare 稀
mari 毬
mari 鞠
maru 丸
masaki 柾
masu 升
masu 鱒
mata 亦
mata 又
mata 復
mata 股
mati 町
mato 的
mato 纏
matsu 抹
matsu 末
matsu 松
matsuge 睫
matsuri 祭
matsurigoto 政
matu 抹
matu 末
matu 松
matuge 睫
maturi 祭
maturigoto 政
mayu 眉
mayu 繭
me 女
me 奴
me 目
me 芽
mei 冥
mei 名
mei 命
mei 姪
mei 明
mei 盟
mei 迷
mei 銘
mei 鳴
mekura 盲
men 免
men 綿
men 面
men 麺
meshi 飯
mesi 飯
mesu 雌
metsu 滅
metu 滅
mi 味
mi 実
mi 微
mi 未
mi 箕
mi 舿
mi 菨
mi 魅
michi 道
midari 妄
midari 猥
midori 緑
midori 翠
migi 右
migiri 砌
migiwa 汀
migiwa 渚
miki 徯
mikotonori 詔
mimi 耳
min 明
min 民
min 眠
mina 皆
minami 南
minamoto 源
minashigo 孤
minasigo 孤
minato 港
mine 峰
minna 皆
mino 蓑
mio 澪
misago 鶚
misaki 岬
misao 操
misasagi 陵
mise 店
misogi 禊
misoka 密
miti 道
mitsu 密
mitsu 蜜
mitu 密
mitu 蜜
miya 宮
miyako 都
miyoshi 舶
miyosi 舶
mizo 溝
mizore 霙
mizu 水
mizunoe 壬
mizunoto 癸
mizuumi 湖
mo 喪
mo 模
mo 茂
mo 藻
mochi 糯
mochi 餅
mochi 黐
mogusa 艾
mokko 畚
moku 木
moku 目
moku 黙
momi 樅
momi 籾
momi 紅
momo 桃
momo 股
momo 腿
mon 問
mon 悶
mon 文
mon 紋
mon 聞
mon 門
monme 匁
mono 物
mono 者
mori 守
mori 森
mori 銛
moti 糯
moti 餅
moti 黐
moto 基
moto 故
moto 旧
moto 本
moto 素
moto 許
motodori 髻
motsu 物
motu 物
mou 亡
mou 妄
mou 孟
mou 望
mou 毛
mou 猛
mou 盲
mou 網
mou 耗
mou 蒙
moya 靄
mozu 鵙
mu 務
mu 夢
mu 武
mu 無
mu 矛
mu 謀
mu 霧
muchi 笞
muchi 鞭
mugi 麦
mujina 狢
mujina 貉
mukashi 昔
mukasi 昔
muko 婿
muku 椋
mune 旨
mune 棟
mune 胸
mura 斑
mura 村
murasaki 紫
muro 室
mushi 虫
musi 虫
musume 娘
muti 笞
muti 鞭
muzina 狢
muzina 貉
myaku 脈
myou 冥
myou 名
myou 命
myou 妙
myou 明
myou 苗
myou 鳴
na 南
na 名
na 納
na 菜
