각단 角端
각대 角帶
각대 角臺
각도 刻刀
각도 角塗
각도 角度
각도계 角度計
각도기 角度器
각도장 角圖章
각도하다 角塗하다
각두 殼斗
각두정 角頭釘
각둘 各둘
각득 覺得
각득하다 覺得하다
각등 角燈
각뜨다 脚뜨다
각띠 角띠
각려 刻勵
각려하다 刻勵하다
각력 脚力
각력 角力
각력암 角礫巖
각력하다 角力하다
각렴하다 刻廉하다
각령 覺靈
각령 閣令
각로 却老
각로 脚爐
각로하다 却老하다
각론 各論
각료 閣僚
각루 刻鏤
각루 刻漏
각루하다 刻鏤하다
각리 各離
각리하다 各離하다
각립 各立
각립 角立
각립대좌 角立對坐
각립대좌하다 角立對坐하다
각립하다 各立하다
각립하다 角立하다
각막 各막
각막 角膜
각막반사 角膜反射
각막염 角膜炎
각막이식 角膜移植
각면보 角面堡
각명 刻銘
각명하다 刻銘하다
각모 角帽
각목 刻木
각목 角木
각목문자 刻木文字
각목하다 刻木하다
각문 刻文
각문 角紋
각문 閣門
각물 各物
각박성가 刻薄成家
각박성가하다 刻薄成家하다
각박하다 刻薄하다
각박히 刻薄히
각반 各般
각반 脚絆
각반병 角斑病
각방 各坊
각방 各房
각방 各方
각배 各拜
각배 各배
각배 角杯
각배하다 各拜하다
각벌 各벌
각별 各別
각별나다 各別나다
각별하다 各別하다
각별히 各別히
각보 却步
각보하다 却步하다
각본 刻本
각본 脚本
각본가 脚本家
각봉 各封
각봉투 角封套
각봉하다 各封하다
각부 刻符
각부 各部
각부 脚夫
각부 脚部
각분 各分
각분 角粉
각분하다 各分하다
각불때다 各불때다
각비 覺非
각비하다 覺非하다
각뿔 角뿔
각뿔대 角뿔臺
각사 各司
각사 覺辭
각사탕 角砂糖
각삭 刻削
각삭하다 刻削하다
각산 各散
각산 各産
각산진비 各散盡飛
각산진비하다 各散盡飛하다
각산하다 各散하다
각산하다 各産하다
각살림 各살림
각살림하다 各살림하다
각상 各床
각상 角狀
각색 各色
각색 脚色
각색 角色
각색가 脚色家
각색하다 脚色하다
각생 各生
각생약 脚生葯
각생하다 各生하다
각서 覺書
각서 角黍
각석 刻石
각석 各석
각석 角石
각석하다 刻石하다
각선 殼腺
각선문 刻線文
각선미 脚線美
각설 却說
각설 各設
각설이 却說이
각설이타령 却說이타령
각설탕 角屑糖
각설탕 角雪糖
각설하고 却說하고
각설하다 却說하다
각설하다 各設하다
각섬석 角閃石
각성 各姓
각성 覺性
각성 覺醒
각성 角星
각성바지 各姓바지
각성붙이 各姓붙이
각성제 覺醒劑
각성하다 覺醒하다
각세공 角細工
각소 各所
각소 角素
각속도 角速度
각쇠 刻쇠
각수 刻手
각수 恪守
각수 覺樹
각수 角宿
각수 角數
각수렴 各收斂
각수렴하다 各收斂하다
각수장 刻手匠
각수장이 刻手장이
각수하다 恪守하다
각승 角勝
각승하다 角勝하다
각시방 각시房
각시조 刻時調
각시차 角視差
각신 閣臣
각실하다 慤實하다
각심 各心
각심소원 各心所願
각심소위 各心所爲
각심하다 各心하다
각아비자식 各아비子息
