#粵語詞彙 https://github.com/rime-aca/rime-jyutping-plus.git
賣魚佬洗身
賣鯇魚尾搭嘴
贅气
贅氣
贈慶
贖錢
赤柱
走人
走夾唔唞
走趲
走鬼
起屋
起身
趁墟
趌跛跛
趌路
跌眼鏡
跌落地都要楋翻揸沙
跌落地都要楋翻摣沙
跟你姓
跟佢姓
跪地喂豬母睇錢份上
跪地餵豬母睇錢份上
踎墩
踢曬腳
踢波
踢爆
踩屐
踹單車
蹬穿石
蹺腳
蹺蹊
躀低
躝嚟躝去
躝屍
躝屍䞘路
身光頸靚
身子
身慶
身水身汗
身熱
躽胸凸肚
車厘子
車呔
車大奅
車大炮
車天車地
車掌
車衫
車轆
軒芝斯
軚盤
軟熟
輪更
輸波
近嚟
返來
返工
返潮話梅又鹹又溼
返潮話梅又鹹又濕
返畀
通菜
造啡
逢喺
逢系
連氣
週身唔得掂
週身唔聚財
遊離浪蕩
過一排
過嚟
過番
過頭
遝水
邊位
邊個
邊度
邊爐
邊處
邋遢
邪牌
邪牌愛差人
郇嘢
鄭秀文跑步吳鎮宇
酒凹
酒埕
酸酸宿宿
醒目
醫生
里昂
重有
重重沓沓
重重遝遝
金鈪
釣魚臺
鈒骨
鉸剪
銀紙
鋤大D
鋦气
鋦氣
鋦爆
錄像機
錫你
鎅玻璃
鎅紙刀
鐘點工
鐳射
鐵達尼號
鑊黸
長拉拉
長气
長氣
門口狗
門鉸
門飛
閂門
閉翳
開檔
開片
開聖誕
開鏡
閻羅王揸攤
閻羅王揸攤搵鬼埋
閻羅王揸攤鬼埋
闊落
關公細佬亦德
阿些斯奧
阿仙奴
阿公
阿叔
阿哥
阿奇生阿奇奇上加奇
阿婆
阿媽
阿嫂
阿嫲
阿崩叫狗越叫越走
阿崩養貓轉性
阿燦  aa3caan3
阿爸  aa3baa1
阿爺  aa3je4
阿蘭  aa3laan4
阿瑞  aa3seoi6
累上加累    leoi6soeng6gaa1leoi6
類鬥類     leoi6dau3leoi6
累鬥累     leoi6dau3leoi6
阿蘭嫁阿瑞累上加累   aa3laan4gaa3aa3seoi6leoi6soeng6gaa1leoi6
阿蘭嫁阿瑞類鬥類    aa3laan4gaa3aa3seoi6leoi6dau3leoi6
阿貴  aa3gwai3
買布  maai5bou3
唔講  m4gong2
那筆  naa5bat1
阿貴買布唔講那筆    aa3gwai3maai5bou3m4gong2naa5bat1
阿超  aa3ciu1
着褲  zoek3fu3
